Code service CH|Reference document|1 Articles CGI|2 Articles CGI|3 Articles CGI|4 Articles CGI|5 Articles CGI|No disposition|Date mutation|Nature mutation|Valeur fonciere|No voie|B/T/Q|Type de voie|Code voie|Voie|Code postal|Commune|Code departement|Code commune|Prefixe de section|Section|No plan|No Volume|1er lot|Surface Carrez du 1er lot|2eme lot|Surface Carrez du 2eme lot|3eme lot|Surface Carrez du 3eme lot|4eme lot|Surface Carrez du 4eme lot|5eme lot|Surface Carrez du 5eme lot|Nombre de lots|Code type local|Type local|Identifiant local|Surface reelle bati|Nombre pieces principales|Nature culture|Nature culture speciale|Surface terrain
5914P01|2015P00514|1594D*1|||||000001|01/01/2001|Vente|1,00|9001||RUE|0795|DU JARDIN DE L ARC|59110|LA MADELEINE|59|368||AX|7||134||||||||||1|3|Dépendance|493185|0|0|||
5914P01|2015P00514|1594D*1|||||000001|01/01/2001|Vente|1,00|1||RUE|0535|DES ESSARTS|59110|LA MADELEINE|59|368||AX|8||135||||||||||1|2|Appartement|492049|59|2|||
5914P01|2015P00516|1594D*1|||||000001|01/01/2001|Vente|1,00|242||RUE|3316|DU FBG DE ROUBAIX|59800|LILLE|59|350||BH|147||114||||||||||1|2|Appartement|851308|64|3|||
5914P01|2015P00520|1594D*1|||||000001|01/01/2001|Vente|1,00|31||RUE|5811|MALAKOFF|59800|LILLE|59|350||CD|345||||||||||||0|1|Maison|323942|130|5|S||180
5914P01|2015P00524|1594D*1|||||000001|01/01/2001|Vente|1,00|25||RUE|0630|FRANCOIS DE BADTS|59110|LA MADELEINE|59|368||BE|213||36||||||||||1|3|Dépendance|1002009|0|0|||
5914P01|2015P00524|1594D*1|||||000001|01/01/2001|Vente|1,00|25||RUE|0630|FRANCOIS DE BADTS|59110|LA MADELEINE|59|368||BE|213||102||||||||||1|3|Dépendance|1002124|0|0|||
5914P01|2015P00524|1594D*1|||||000001|01/01/2001|Vente|1,00|25||RUE|0630|FRANCOIS DE BADTS|59110|LA MADELEINE|59|368||BE|213||70||||||||||1|2|Appartement|1002153|67|3|||
5914P01|2015P00526|1594D*1|||||000001|01/01/2001|Vente|1,00|3||CITE|5447|LEFEBVRE 2 RUE MARBRERIE|59800|LILLE|59|350||BZ|155||||||||||||0|1|Maison|323309|48|2|S||101
5914P01|2015P00536|1594D*1|||||000001|01/01/2001|Vente|1,00|20||RUE|2347|DELPHIN PETIT|59800|LILLE|59|350||KM|197||1||||||||||1|2|Appartement|1201956|40|2|||
5914P01|2015P00548|1594D*1|||||000001|01/01/2001|Vente|1,00|57|B|RUE|8449|DES STATIONS|59800|LILLE|59|350||PZ|170||61||||||||||1|3|Dépendance|418350|0|0|||
5914P01|2015P00548|1594D*1|||||000001|01/01/2001|Vente|1,00|57|B|RUE|8449|DES STATIONS|59800|LILLE|59|350||PZ|170||40||||||||||1|2|Appartement|418401|29|2|||
5914P01|2015P00585|1594D*1|||||000001|01/01/2001|Vente|1,00|2||RUE|0872|MARCEL ET JEAN CALOONE|59130|LAMBERSART|59|328||BH|218||102||||||||||1|3|Dépendance|294637|0|0|||
5914P01|2015P00589|1594D*1|||||000001|01/01/2001|Vente|1,00|30|A|RUE|3217|ETIENNE DOLET HELLEMMES|59260|LILLE|59|350|298|AD|1015||1004||||||||||1|2|Appartement|433934|101|5|||
5914P01|2015P00607|1594D*1|||||000001|01/01/2001|Vente|1,00|121||RUE|0376|D ARRAS|59000|LILLE|59|350||OX|177||2||||||||||1|2|Appartement|911711|22|1|||
5914P01|2015P00624|1594D*1|||||000001|01/01/2001|Vente|1,00|2||RES|A004|CITEAUX|59800|LILLE|59|350||AR|59||1084||||||||||1|2|Appartement|312539|41|1|||
5914P01|2015P00645|1594D*1|||||000001|01/01/2001|Vente|1,00|63||AV|0140|BERNADETTE|59110|LA MADELEINE|59|368||AD|775||115||34||||||||2|2|Appartement|482470|72|4|||
5914P01|2015P00645|1594D*1|||||000001|01/01/2001|Vente|1,00|63||AV|0140|BERNADETTE|59110|LA MADELEINE|59|368||AD|775||273||||||||||1|3|Dépendance|482480|0|0|||
5914P01|2015P00694|1594D*1|||||000001|01/01/2001|Vente|1,00|34||RUE|5750|LYDERIC|59800|LILLE|59|350||LW|181||10||102||||||||2|2|Appartement|386230|18|1|||
5914P01|2015P00697|1594D*1|||||000001|01/01/2001|Vente|1,00|9||RUE|1769|COLBERT|59800|LILLE|59|350||PZ|175||14||||||||||1|2|Appartement|1119951|27|2|||
5914P01|2015P00697|1594D*1|||||000001|01/01/2001|Vente|1,00|9||RUE|1769|COLBERT|59800|LILLE|59|350||PZ|175||1||||||||||1|2|Appartement|1119941|27|2|||
5914P01|2015P00703|1594D*1|||||000001|01/01/2001|Vente|1,00|4||RUE|0120|DENIS DU PEAGE|59520|MARQUETTE-LEZ-LILLE|59|386||A|703||||||||||||0|1|Maison|517364|60|3|S||56
5914P01|2015P00705|1115*1|||||000001|01/01/2001|Vente|1,00|12||RUE|2347|DELPHIN PETIT|59800|LILLE|59|350||KM|158||||||||||||0|4|Local industriel. commercial ou assimilé|368725|370|0|S||331
5914P01|2015P00705|1115*1|||||000001|01/01/2001|Vente|1,00|12||RUE|2347|DELPHIN PETIT|59800|LILLE|59|350||KM|158||||||||||||0|2|Appartement|368726|24|1|S||331
5914P01|2015P00705|1115*1|||||000001|01/01/2001|Vente|1,00|12||RUE|2347|DELPHIN PETIT|59800|LILLE|59|350||KM|158||||||||||||0|2|Appartement|368728|28|1|S||331
5914P01|2015P00705|1115*1|||||000001|01/01/2001|Vente|1,00|12||RUE|2347|DELPHIN PETIT|59800|LILLE|59|350||KM|158||||||||||||0|2|Appartement|368727|28|1|S||331
5914P01|2015P00711|1594FQA*2|||||000001|01/01/2001|Vente en l'état futur d'achèvement|1,00|||RUE|1466|CHANZY HELLEMMES|59260|LILLE|59|350|298|AN|1133||143||||||||||1||||||||
5914P01|2015P00711|1594FQA*2|||||000001|01/01/2001|Vente en l'état futur d'achèvement|1,00|||RUE|1466|CHANZY HELLEMMES|59260|LILLE|59|350|298|AN|1133||45||||||||||1||||||||
5914P01|2015P00718|1594FQA*2|||||000001|01/01/2001|Vente en l'état futur d'achèvement|1,00|87||RUE|6924|DE LA PLAINE|59000|LILLE|59|350||OW|140||31||||||||||1||||||||
5914P01|2015P00718|1594FQA*2|||||000001|01/01/2001|Vente en l'état futur d'achèvement|1,00|87||RUE|6924|DE LA PLAINE|59000|LILLE|59|350||OW|140||139||||||||||1||||||||
5914P01|2015P00721|1594D*1|||||000001|01/01/2001|Vente|1,00|7||RUE|3177|DE L ESPERANCE|59800|LILLE|59|350||CD|186||||||||||||0|1|Maison|323681|70|5|S||65
5914P01|2015P00723|1594D*1|||||000001|01/01/2001|Vente|1,00|13||RUE|2667|DE LA DIGUE|59800|LILLE|59|350||NV|3||1155||||||||||1|3|Dépendance|973772|0|0|||
5914P01|2015P00729|1594D*1|||||000001|01/01/2001|Vente|1,00|111||RUE|3749|GANTOIS|59000|LILLE|59|350||OV|157||||||||||||0|2|Appartement|895417|21|1|S||82
5914P01|2015P00729|1594D*1|||||000001|01/01/2001|Vente|1,00|111||RUE|3749|GANTOIS|59000|LILLE|59|350||OV|157||||||||||||0|2|Appartement|895429|32|1|S||82
5914P01|2015P00729|1594D*1|||||000001|01/01/2001|Vente|1,00|111||RUE|3749|GANTOIS|59000|LILLE|59|350||OV|157||||||||||||0|2|Appartement|895431|32|2|S||82
5914P01|2015P00729|1594D*1|||||000001|01/01/2001|Vente|1,00|111||RUE|3749|GANTOIS|59000|LILLE|59|350||OV|157||||||||||||0|2|Appartement|895427|32|2|S||82
5914P01|2015P00729|1594D*1|||||000001|01/01/2001|Vente|1,00|111||RUE|3749|GANTOIS|59000|LILLE|59|350||OV|157||||||||||||0|4|Local industriel. commercial ou assimilé|407506|101|0|S||82
5914P01|2015P00730|1594FQA*2|||||000001|01/01/2001|Vente en l'état futur d'achèvement|1,00|87||RUE|6924|DE LA PLAINE|59000|LILLE|59|350||OW|140||122||||||||||1||||||||
5914P01|2015P00730|1594FQA*2|||||000001|01/01/2001|Vente en l'état futur d'achèvement|1,00|87||RUE|6924|DE LA PLAINE|59000|LILLE|59|350||OW|140||33||||||||||1||||||||
5914P01|2015P00733|1594D*1|||||000001|01/01/2001|Vente|1,00|8||RUE|0016|ALEXANDRE DUMAS|59790|RONCHIN|59|507||AK|71||||||||||||0|1|Maison|575424|105|5|S||354
5914P01|2015P00741|1594D*1|||||000001|01/01/2001|Vente|1,00|14||RUE|1350|VAILLANT|59130|LAMBERSART|59|328||AV|10||||||||||||0|1|Maison|286582|75|2|S||135
5914P01|2015P00743|1594D*1|||||000001|01/01/2001|Vente|1,00|2||PL|1732|CLEMENT ADER|59000|LILLE|59|350||ET|322||178||64||||||||2|2|Appartement|346578|72|5|||
5914P01|2015P00750|1049*1|1594FQA*2||||000001|01/01/2001|Vente en l'état futur d'achèvement|1,00|66|B|QUAI|6530|DE L OUEST|59000|LILLE|59|350||EN|453||42||||||||||1|3|Dépendance|1208892|0|0|||
5914P01|2015P00750|1049*1|1594FQA*2||||000001|01/01/2001|Vente en l'état futur d'achèvement|1,00|66|B|QUAI|6530|DE L OUEST|59000|LILLE|59|350||EN|453||226||||||||||1|2|Appartement|1208693|48|2|||
5914P01|2015P00754|1594D*1|||||000001|01/01/2001|Vente|1,00|3||RUE|6263|MOULIN DU BECQUET|59800|LILLE|59|350||AB|112||606||||||||||1|3|Dépendance|988618|0|0|||
5914P01|2015P00754|1594D*1|||||000001|01/01/2001|Vente|1,00|7||RUE|6263|MOULIN DU BECQUET|59800|LILLE|59|350||AB|112||221||25||||||||2|2|Appartement|988354|46|2|||
5914P01|2015P00757|1594FQA*2|||||000001|01/01/2001|Vente en l'état futur d'achèvement|1,00|66||RUE|0472|D AVESNES|59000|LILLE|59|350||OY|142||137||||||||||1||||||||
5914P01|2015P00757|1594FQA*2|||||000001|01/01/2001|Vente en l'état futur d'achèvement|1,00|66||RUE|0472|D AVESNES|59000|LILLE|59|350||OY|142||321||||||||||1||||||||
5914P01|2015P00759|1594FQA*2|||||000001|01/01/2001|Vente en l'état futur d'achèvement|1,00|||BD|6686|PAUL PAINLEVE|59000|LILLE|59|350||IK|332||151||||||||||1||||||||
5914P01|2015P00759|1594FQA*2|||||000001|01/01/2001|Vente en l'état futur d'achèvement|1,00|||BD|6686|PAUL PAINLEVE|59000|LILLE|59|350||IK|332||49||||||||||1||||||||
5914P01|2015P00761|1594D*1|||||000001|01/01/2001|Vente|1,00|13||RUE|1057|DE PARIS|59130|LAMBERSART|59|328||AP|610||||||||||||0|1|Maison|283746|83|5|S||286
5914P01|2015P00768|1594FQA*1|||||000001|01/01/2001|Vente|1,00|2||RUE|5863|DE LA MARBRERIE|59800|LILLE|59|350||BZ|159||185||||||||||1|3|Dépendance|1200780|0|0|||
5914P01|2015P00768|1594FQA*1|||||000001|01/01/2001|Vente|1,00|2||RUE|5863|DE LA MARBRERIE|59800|LILLE|59|350||BZ|159||214||602||||||||2|2|Appartement|1200778|64|4|||
5914P01|2015P00770|1049*1|||||000002|01/01/2001|Echange|1,00|48||RUE|0594|BARTHELEMY DELESPAUL|59000|LILLE|59|350||RY|330||||||||||||0||||||S||1
5914P01|2015P00770|1049*1|||||000002|01/01/2001|Echange|1,00|48||RUE|0594|BARTHELEMY DELESPAUL|59000|LILLE|59|350||RY|331||||||||||||0||||||S||7
5914P01|2015P00770|1049*1|||||000003|01/01/2001|Echange|1,00|23|B|RUE|6085|DES MEUNIERS|59000|LILLE|59|350||RY|333||||||||||||0||||||S||6
5914P01|2015P00770|1049*1|||||000003|01/01/2001|Echange|1,00|23|B|RUE|6085|DES MEUNIERS|59000|LILLE|59|350||RY|334||||||||||||0||||||S||2
5914P01|2015P00771||||||000001|01/01/2001|Vente|1,00|48||RUE|0594|BARTHELEMY DELESPAUL|59000|LILLE|59|350||RY|328||||||||||||0|2|Appartement|423747|56|2|S||1183
5914P01|2015P00771||||||000001|01/01/2001|Vente|1,00|48||RUE|0594|BARTHELEMY DELESPAUL|59000|LILLE|59|350||RY|328||||||||||||0|2|Appartement|423757|50|2|S||1183
5914P01|2015P00771||||||000001|01/01/2001|Vente|1,00|48||RUE|0594|BARTHELEMY DELESPAUL|59000|LILLE|59|350||RY|328||||||||||||0|2|Appartement|423760|42|2|S||1183
5914P01|2015P00771||||||000001|01/01/2001|Vente|1,00|48||RUE|0594|BARTHELEMY DELESPAUL|59000|LILLE|59|350||RY|328||||||||||||0|2|Appartement|423761|42|2|S||1183
5914P01|2015P00771||||||000001|01/01/2001|Vente|1,00|48||RUE|0594|BARTHELEMY DELESPAUL|59000|LILLE|59|350||RY|328||||||||||||0|2|Appartement|423756|46|2|S||1183
5914P01|2015P00771||||||000001|01/01/2001|Vente|1,00|48||RUE|0594|BARTHELEMY DELESPAUL|59000|LILLE|59|350||RY|328||||||||||||0|2|Appartement|423737|42|2|S||1183
5914P01|2015P00771||||||000001|01/01/2001|Vente|1,00|48||RUE|0594|BARTHELEMY DELESPAUL|59000|LILLE|59|350||RY|328||||||||||||0|2|Appartement|423753|42|2|S||1183
5914P01|2015P00771||||||000001|01/01/2001|Vente|1,00|48||RUE|0594|BARTHELEMY DELESPAUL|59000|LILLE|59|350||RY|328||||||||||||0|4|Local industriel. commercial ou assimilé|423767|0|0|S||1183
5914P01|2015P00771||||||000001|01/01/2001|Vente|1,00|48||RUE|0594|BARTHELEMY DELESPAUL|59000|LILLE|59|350||RY|328||||||||||||0|2|Appartement|423751|50|2|S||1183
5914P01|2015P00771||||||000001|01/01/2001|Vente|1,00|48||RUE|0594|BARTHELEMY DELESPAUL|59000|LILLE|59|350||RY|328||||||||||||0|2|Appartement|423762|56|2|S||1183
5914P01|2015P00771||||||000001|01/01/2001|Vente|1,00|48||RUE|0594|BARTHELEMY DELESPAUL|59000|LILLE|59|350||RY|328||||||||||||0|2|Appartement|423742|76|3|S||1183
5914P01|2015P00771||||||000001|01/01/2001|Vente|1,00|48||RUE|0594|BARTHELEMY DELESPAUL|59000|LILLE|59|350||RY|328||||||||||||0|3|Dépendance|423726|0|0|S||1183
5914P01|2015P00771||||||000001|01/01/2001|Vente|1,00|48||RUE|0594|BARTHELEMY DELESPAUL|59000|LILLE|59|350||RY|328||||||||||||0|2|Appartement|423736|42|2|S||1183
5914P01|2015P00771||||||000001|01/01/2001|Vente|1,00|48||RUE|0594|BARTHELEMY DELESPAUL|59000|LILLE|59|350||RY|328||||||||||||0|2|Appartement|423764|46|2|S||1183
5914P01|2015P00771||||||000001|01/01/2001|Vente|1,00|48||RUE|0594|BARTHELEMY DELESPAUL|59000|LILLE|59|350||RY|328||||||||||||0|2|Appartement|423732|46|2|S||1183
5914P01|2015P00771||||||000001|01/01/2001|Vente|1,00|48||RUE|0594|BARTHELEMY DELESPAUL|59000|LILLE|59|350||RY|328||||||||||||0|2|Appartement|423759|50|2|S||1183
5914P01|2015P00771||||||000001|01/01/2001|Vente|1,00|48||RUE|0594|BARTHELEMY DELESPAUL|59000|LILLE|59|350||RY|328||||||||||||0|2|Appartement|423763|56|2|S||1183
5914P01|2015P00771||||||000001|01/01/2001|Vente|1,00|48||RUE|0594|BARTHELEMY DELESPAUL|59000|LILLE|59|350||RY|328||||||||||||0|2|Appartement|423727|50|2|S||1183
5914P01|2015P00771||||||000001|01/01/2001|Vente|1,00|48||RUE|0594|BARTHELEMY DELESPAUL|59000|LILLE|59|350||RY|328||||||||||||0|2|Appartement|423744|42|2|S||1183
5914P01|2015P00771||||||000001|01/01/2001|Vente|1,00|48||RUE|0594|BARTHELEMY DELESPAUL|59000|LILLE|59|350||RY|328||||||||||||0|2|Appartement|423738|56|2|S||1183
5914P01|2015P00771||||||000001|01/01/2001|Vente|1,00|48||RUE|0594|BARTHELEMY DELESPAUL|59000|LILLE|59|350||RY|328||||||||||||0|2|Appartement|423739|56|2|S||1183
5914P01|2015P00771||||||000001|01/01/2001|Vente|1,00|48||RUE|0594|BARTHELEMY DELESPAUL|59000|LILLE|59|350||RY|328||||||||||||0|2|Appartement|423765|116|4|S||1183
5914P01|2015P00771||||||000001|01/01/2001|Vente|1,00|48||RUE|0594|BARTHELEMY DELESPAUL|59000|LILLE|59|350||RY|328||||||||||||0|2|Appartement|423734|76|3|S||1183
5914P01|2015P00771||||||000001|01/01/2001|Vente|1,00|48||RUE|0594|BARTHELEMY DELESPAUL|59000|LILLE|59|350||RY|328||||||||||||0|2|Appartement|423735|50|2|S||1183
5914P01|2015P00771||||||000001|01/01/2001|Vente|1,00|48||RUE|0594|BARTHELEMY DELESPAUL|59000|LILLE|59|350||RY|328||||||||||||0|2|Appartement|423730|56|2|S||1183
5914P01|2015P00771||||||000001|01/01/2001|Vente|1,00|48||RUE|0594|BARTHELEMY DELESPAUL|59000|LILLE|59|350||RY|328||||||||||||0|2|Appartement|423743|50|2|S||1183
5914P01|2015P00771||||||000001|01/01/2001|Vente|1,00|48||RUE|0594|BARTHELEMY DELESPAUL|59000|LILLE|59|350||RY|328||||||||||||0|2|Appartement|423745|42|2|S||1183
5914P01|2015P00771||||||000001|01/01/2001|Vente|1,00|48||RUE|0594|BARTHELEMY DELESPAUL|59000|LILLE|59|350||RY|328||||||||||||0|2|Appartement|423754|56|2|S||1183
5914P01|2015P00771||||||000001|01/01/2001|Vente|1,00|48||RUE|0594|BARTHELEMY DELESPAUL|59000|LILLE|59|350||RY|328||||||||||||0|2|Appartement|423728|42|2|S||1183
5914P01|2015P00771||||||000001|01/01/2001|Vente|1,00|48||RUE|0594|BARTHELEMY DELESPAUL|59000|LILLE|59|350||RY|328||||||||||||0|2|Appartement|423733|46|2|S||1183
5914P01|2015P00771||||||000001|01/01/2001|Vente|1,00|48||RUE|0594|BARTHELEMY DELESPAUL|59000|LILLE|59|350||RY|328||||||||||||0|2|Appartement|423740|46|2|S||1183
5914P01|2015P00771||||||000001|01/01/2001|Vente|1,00|48||RUE|0594|BARTHELEMY DELESPAUL|59000|LILLE|59|350||RY|328||||||||||||0|2|Appartement|423731|56|2|S||1183
5914P01|2015P00771||||||000001|01/01/2001|Vente|1,00|48||RUE|0594|BARTHELEMY DELESPAUL|59000|LILLE|59|350||RY|328||||||||||||0|2|Appartement|423758|76|3|S||1183
5914P01|2015P00771||||||000001|01/01/2001|Vente|1,00|48||RUE|0594|BARTHELEMY DELESPAUL|59000|LILLE|59|350||RY|328||||||||||||0|4|Local industriel. commercial ou assimilé|423766|435|0|S||1183
5914P01|2015P00771||||||000001|01/01/2001|Vente|1,00|48||RUE|0594|BARTHELEMY DELESPAUL|59000|LILLE|59|350||RY|328||||||||||||0|2|Appartement|423746|56|2|S||1183
5914P01|2015P00771||||||000001|01/01/2001|Vente|1,00|48||RUE|0594|BARTHELEMY DELESPAUL|59000|LILLE|59|350||RY|328||||||||||||0|2|Appartement|423748|46|2|S||1183
5914P01|2015P00771||||||000001|01/01/2001|Vente|1,00|48||RUE|0594|BARTHELEMY DELESPAUL|59000|LILLE|59|350||RY|328||||||||||||0|2|Appartement|423755|56|2|S||1183
5914P01|2015P00771||||||000001|01/01/2001|Vente|1,00|48||RUE|0594|BARTHELEMY DELESPAUL|59000|LILLE|59|350||RY|328||||||||||||0|2|Appartement|423752|42|2|S||1183
5914P01|2015P00771||||||000001|01/01/2001|Vente|1,00|48||RUE|0594|BARTHELEMY DELESPAUL|59000|LILLE|59|350||RY|328||||||||||||0|2|Appartement|423729|42|2|S||1183
5914P01|2015P00771||||||000001|01/01/2001|Vente|1,00|48||RUE|0594|BARTHELEMY DELESPAUL|59000|LILLE|59|350||RY|328||||||||||||0|2|Appartement|423741|50|2|S||1183
5914P01|2015P00771||||||000001|01/01/2001|Vente|1,00|48||RUE|0594|BARTHELEMY DELESPAUL|59000|LILLE|59|350||RY|328||||||||||||0|2|Appartement|423750|76|3|S||1183
5914P01|2015P00771||||||000001|01/01/2001|Vente|1,00|48||RUE|0594|BARTHELEMY DELESPAUL|59000|LILLE|59|350||RY|328||||||||||||0|2|Appartement|423749|50|2|S||1183
5914P01|2015P00771||||||000001|01/01/2001|Vente|1,00|48||RUE|0594|BARTHELEMY DELESPAUL|59000|LILLE|59|350||RY|329||||||||||||0||||||S||14
5914P01|2015P00771||||||000001|01/01/2001|Vente|1,00|23|B|RUE|6085|DES MEUNIERS|59000|LILLE|59|350||RY|333||||||||||||0||||||S||6
5914P01|2015P00771||||||000001|01/01/2001|Vente|1,00|23|B|RUE|6085|DES MEUNIERS|59000|LILLE|59|350||RY|334||||||||||||0||||||S||2
5914P01|2015P00776|1594D*1|||||000001|01/01/2001|Vente|1,00|22||RUE|3371|FERDINAND BUISSON|59260|LILLE|59|350|298|AE|790||||||||||||0|1|Maison|434900|72|3|S||170
5914P01|2015P00779|1594D*1|||||000001|01/01/2001|Vente|1,00|71||RUE|4658|D IENA|59000|LILLE|59|350||PV|243||||||||||||0|1|Maison|413519|100|1|S||71
5914P01|2015P00781|1594D*1|||||000001|01/01/2001|Vente|1,00|19||RUE|3664|DES FRERES VAILLANT|59800|LILLE|59|350||NR|152||38||57||||||||2|2|Appartement|873170|108|4|||
5914P01|2015P00783|1594D*1|||||000001|01/01/2001|Vente|1,00|54||RUE|4274|GUSTAVE DELORY|59800|LILLE|59|350||TL|69||6||||||||||1|2|Appartement|963790|75|3|||
5914P01|2015P00784|1594D*1|||||000002|01/01/2001|Vente|1,00|110||RUE|8224|DES SARRAZINS|59000|LILLE|59|350||SW|325||||||||||||0|2|Appartement|1094725|40|1|S||45
5914P01|2015P00784|1594D*1|||||000002|01/01/2001|Vente|1,00|110||RUE|8224|DES SARRAZINS|59000|LILLE|59|350||SW|325||||||||||||0|4|Local industriel. commercial ou assimilé|427559|78|0|S||45
5914P01|2015P00784|1594D*1|||||000002|01/01/2001|Vente|1,00|||COUR|7114|POTIER RUE SARRAZINS|59000|LILLE|59|350||SW|550||||||||||||0||||||S||57
5914P01|2015P00784|1594D*1|||||000002|01/01/2001|Vente|1,00|108||RUE|8224|DES SARRAZINS|59000|LILLE|59|350||SW|553||||||||||||0||||||S||8
5914P01|2015P00786|1594D*1|||||000001|01/01/2001|Vente|1,00|55||RUE|5981|MASSENA|59800|LILLE|59|350||NZ|292||6||8||||||||2|2|Appartement|402506|40|2|||
5914P01|2015P00787|1594FQA*2|||||000001|01/01/2001|Vente en l'état futur d'achèvement|1,00|||RUE|1883|DES COQUELICOTS|59000|LILLE|59|350||DV|239||23||||||||||1||||||||
5914P01|2015P00787|1594FQA*2|||||000001|01/01/2001|Vente en l'état futur d'achèvement|1,00|||RUE|1883|DES COQUELICOTS|59000|LILLE|59|350||DV|239||16||||||||||1||||||||
5914P01|2015P00789|1594D*1|||||000001|01/01/2001|Vente|1,00|61|B|RUE|7099|DES POSTES|59000|LILLE|59|350||RY|30||3||||||||||1|2|Appartement|423571|44|1|||
5914P01|2015P00791|1594D*1|||||000001|01/01/2001|Vente|1,00|8||RUE|4519|D HOLBACH|59000|LILLE|59|350||MZ|154||||||||||||0|2|Appartement|885614|42|1|S||142
5914P01|2015P00791|1594D*1|||||000001|01/01/2001|Vente|1,00|8||RUE|4519|D HOLBACH|59000|LILLE|59|350||MZ|154||||||||||||0|2|Appartement|885613|36|1|S||142
5914P01|2015P00791|1594D*1|||||000001|01/01/2001|Vente|1,00|8||RUE|4519|D HOLBACH|59000|LILLE|59|350||MZ|154||||||||||||0|2|Appartement|885610|63|3|S||142
5914P01|2015P00791|1594D*1|||||000001|01/01/2001|Vente|1,00|8||RUE|4519|D HOLBACH|59000|LILLE|59|350||MZ|154||||||||||||0|2|Appartement|885612|36|1|S||142
5914P01|2015P00792|1594D*1|||||000001|01/01/2001|Vente|1,00|10||RUE|3664|DES FRERES VAILLANT|59800|LILLE|59|350||NR|77||3||||||||||1|2|Appartement|396535|37|2|||
5914P01|2015P00794|1115*1|||||000001|01/01/2001|Vente|1,00|11||RUE|0458|AUGUSTIN DRAPIEZ|59000|LILLE|59|350||DP|37||||||||||||0|1|Maison|337151|92|5|S||266
5914P01|2015P00798|1594D*1|||||000001|01/01/2001|Vente|1,00|11||RUE|0458|AUGUSTIN DRAPIEZ|59000|LILLE|59|350||DP|37||||||||||||0|1|Maison|337151|92|5|S||266
5914P01|2015P00800|1594FQA*2|||||000001|01/01/2001|Vente en l'état futur d'achèvement|1,00|47||RUE|3534|FOURIER|59000|LILLE|59|350||EO|400||260||||||||||1||||||||
5914P01|2015P00807|1594D*1|||||000001|01/01/2001|Vente|1,00|44||RUE|0758|BENVIGNAT|59800|LILLE|59|350||EZ|17||19||5||||||||2|2|Appartement|348276|64|3|||
5914P01|2015P00810|1594D*1|||||000001|01/01/2001|Vente|1,00|41||QUAI|9325|DU WAULT|59800|LILLE|59|350||KS|239||1077||||||||||1|3|Dépendance|990927|0|0|||
5914P01|2015P00810|1594D*1|||||000001|01/01/2001|Vente|1,00|22||RUE|7284|DU QUAI|59800|LILLE|59|350||KS|239||1012||1041||||||||2|2|Appartement|990679|66|2|||
